month,lat,psl
4,63.61256544502618,101255.97683376694
4,64.55497382198953,101297.59809027729
4,65.49738219895289,101336.57685004377
4,66.43979057591622,101381.63034396718
4,67.38219895287958,101422.56917317676
4,68.32460732984293,101462.91172960041
4,69.26701570680629,101496.43364800341
4,70.20942408376962,101535.84773763076
4,71.15183246073298,101576.80805121537
4,72.09424083769633,101622.61539713477
4,73.03664921465969,101671.71118164036
4,73.97905759162305,101723.88037109312
4,74.92146596858638,101778.22433810717
4,75.86387434554973,101839.41791449687
4,76.80628272251309,101904.06648763067
4,77.74869109947645,101967.9158528641
4,78.6910994764398,102037.04405382008
4,79.63350785340313,102108.2889811204
4,80.57591623036649,102185.58840603338
4,81.51832460732984,102263.787679036
4,82.4607329842932,102328.53119574655
4,83.40314136125653,102380.7184516054
4,84.34554973821989,102421.84035915819
4,85.28795811518324,102452.34098307263
4,86.2303664921466,102477.26052517357
4,87.17277486910996,102495.31467013888
4,88.11518324607329,102508.6535102001
4,89.05759162303664,102512.83284505176
4,90.0,102509.97656249967
5,-90.0,99812.26171874959
5,-89.05759162303664,99716.02981228259
5,-88.1151832460733,99541.58856879412
5,-87.17277486910994,99374.91783311663
5,-86.2303664921466,99228.7331542969
5,-85.28795811518324,99110.16029188332
5,-84.3455497382199,98979.74487304689
5,-83.40314136125654,98857.96188693651
5,-82.46073298429319,98736.15370008696
5,-81.51832460732984,98639.09095594572
5,-80.57591623036649,98591.28738064275
5,-79.63350785340315,98573.305664063
5,-78.69109947643979,98559.27924262168
5,-77.74869109947645,98515.96375868002
5,-76.80628272251309,98453.43381076433
5,-75.86387434554973,98383.81987847267
5,-74.92146596858639,98289.01467556458
5,-73.97905759162303,98207.71682400128
5,-73.03664921465969,98137.40237087644
5,-72.09424083769633,98084.06740993861
5,-71.15183246073298,98034.21413845487
5,-70.20942408376963,97972.92865668463
5,-69.26701570680629,97900.87014431413
5,-68.32460732984293,97845.3457031247
5,-67.38219895287958,97817.92049153599
5,-66.43979057591623,97812.83610026047
5,-65.49738219895288,97825.61252170191
5,-64.55497382198953,97845.28301323738
5,-63.61256544502618,97896.20217556374
5,-62.67015706806283,97986.0275878904
